CodPro,SGE,status_A1,km_A1,n_vias_A1,ids_vias_A1,status_A2,km_A2,n_vias_A2,ids_vias_A2
OAE464,30156.0,encontrada,37.5188,4,BR-226;BR-226;CE-060;OSM-tertiary,encontrada,37.5188,4,BR-226;BR-226;CE-060;OSM-tertiary
OAE465,30157.0,encontrada,88.4401,5,BR-226;BR-226;CE-060;CE-060;CE-363,encontrada,118.9921,6,BR-226;CE-060;CE-166;CE-363
OAE466,30158.0,encontrada,190.3824,17,BR-226;CE-060;CE-060;CE-363;CE-363;OSM-tertiary;CE-363;CE-168;Rua Ana Soares Pedrosa 2;CE-168;Rua Antônio Marcos Pereira;Rua Professor Osorino Mendes;Rua José Paulino de Sousa;BR-226;CE-168,encontrada,218.6275,14,BR-226;OSM-tertiary;CE-060;CE-166;CE-265;BR-020;Rua Vinte Seis de Junho;Rua Vinte e Um de Novembro;Rua Agronomando Rangel;CE-266;Rua Balbina Vieira Almeida;CE-168;BR-226;CE-168
OAE467,30159.0,encontrada,125.6299,10,BR-226;Rodovia Presidente Juscelino Kubitschek;BR-020;Rua Antônio Rocha Bezerra;Rua Antônio Domingues;CE-266;Rua Balbina Vieira Almeida;CE-168,encontrada,125.6299,10,BR-226;Rodovia Presidente Juscelino Kubitschek;BR-020;Rua Antônio Rocha Bezerra;Rua Antônio Domingues;CE-266;Rua Balbina Vieira Almeida;CE-168
OAE468,30160.0,encontrada,122.9357,10,BR-226;OSM-tertiary;Rua José Paulino de Sousa;Rua Professor Osorino Mendes;Rua Antônio Marcos Pereira;CE-587;BR-020;Rodovia Presidente Juscelino Kubitschek,encontrada,125.6226,10,BR-226;CE-168;Rua Balbina Vieira Almeida;CE-266;Rua Antônio Domingues;Rua Antônio Rocha Bezerra;BR-020;Rodovia Presidente Juscelino Kubitschek
OAE469,30161.0,encontrada,122.9671,10,BR-226;OSM-tertiary;Rua José Paulino de Sousa;Rua Professor Osorino Mendes;Rua Antônio Marcos Pereira;CE-587;BR-020;Rodovia Presidente Juscelino Kubitschek,encontrada,125.654,10,BR-226;CE-168;Rua Balbina Vieira Almeida;CE-266;Rua Antônio Domingues;Rua Antônio Rocha Bezerra;BR-020;Rodovia Presidente Juscelino Kubitschek
OAE470,30162.0,encontrada,122.9615,10,BR-226;Rodovia Presidente Juscelino Kubitschek;BR-020;CE-587;OSM-tertiary;Rua Antônio Marcos Pereira;Rua Professor Osorino Mendes;Rua José Paulino de Sousa,encontrada,125.6484,10,BR-226;Rodovia Presidente Juscelino Kubitschek;BR-020;Rua Antônio Rocha Bezerra;Rua Antônio Domingues;CE-266;Rua Balbina Vieira Almeida;CE-168
OAE471,30163.0,encontrada,4.5925,13,BR-404;CE-187;Rua Alexandre Bonfim;Rua Antônio Catuanda;Avenida Sargento Hermínio;Rua Francisco Sá;Rua Bento Coutinho;Rua Coronel Lúcio;Rua Agamenon Machado;Rua Lima Campos;Travessa Menino Jesus;Rua Quintino Cunha;BR-404;CE-189,encontrada,4.5925,13,BR-404;CE-187;Rua Alexandre Bonfim;Rua Antônio Catuanda;Avenida Sargento Hermínio;Rua Francisco Sá;Rua Bento Coutinho;Rua Coronel Lúcio;Rua Agamenon Machado;Rua Lima Campos;Travessa Menino Jesus;Rua Quintino Cunha;BR-404;CE-189
OAE472,30164.0,encontrada,7.5088,10,BR-404;CE-189;Rua Joaquim Lopes de Araújo;Rua Gentil Falção;OSM-tertiary;Rua Menezes PImentel;Rua Padre Juvêncio;Rua Firmino Rosa;CE-447,encontrada,7.5088,10,BR-404;CE-189;Rua Joaquim Lopes de Araújo;Rua Gentil Falção;OSM-tertiary;Rua Menezes PImentel;Rua Padre Juvêncio;Rua Firmino Rosa;CE-447
OAE473,30165.0,encontrada,130.9891,13,BR-404;CE-189;Rua Franklin José Vieira;Rua João Luciano;Rua Raimundo Evaristo;OSM-tertiary;Rua Francisco Lopes;Rua Cornelio Rosa;OSM-secondary;Rua Higino Gonçalves Rosa;BR-403;CE-187;OSM-primary_link,grafo_desconexo,0.0,0,
OAE474,30166.0,encontrada,134.056,21,BR-226;OSM-tertiary;Rua F;Rua C;Estrada Monte Sinai a Tranqueiras;BR-404;CE-187;BR-404/CE-187;OSM-primary_link;Rua Humberto de Campos;Rua Doutor Júlio Lima;Rua Renato Braga;Rua Gustavo Barroso;Rua Oswaldo Cruz;Rua Antônio Sales,grafo_desconexo,0.0,0,
